84;3.1373;-0.040962;-0.02725;0.92016;0.71888;2.1971
85;3.1403;-0.039682;-0.02561;0.90769;0.72178;2.1888
86;3.1402;-0.039646;-0.025655;0.89468;0.72252;2.1891
87;3.1377;-0.039462;-0.028039;0.87993;0.72082;2.1986
88;3.1366;-0.040841;-0.026492;0.86537;0.72238;2.1979
89;3.1383;-0.041275;-0.0275;0.85336;0.72307;2.1989
90;3.1377;-0.042394;-0.0265;0.8423;0.7244;2.1991
91;3.1368;-0.041322;-0.026627;0.83105;0.72519;2.1996
92;3.1372;-0.038978;-0.027326;0.82191;0.72545;2.2
93;3.1364;-0.036891;-0.027904;0.81392;0.72587;2.1996
94;3.1371;-0.033868;-0.027648;0.80573;0.72599;2.2
95;3.1384;-0.032205;-0.02842;0.79711;0.72637;2.2005
96;3.1382;-0.031367;-0.027798;0.78618;0.72683;2.2008
97;3.139;-0.029956;-0.027804;0.77764;0.73004;2.1923
98;3.1383;-0.029665;-0.027999;0.75828;0.7292;2.2016
99;3.1392;-0.027156;-0.027446;0.73925;0.73321;2.1929
100;3.1389;-0.027009;-0.028179;0.71968;0.73509;2.1936
101;3.1391;-0.026278;-0.028409;0.7008;0.73649;2.1939
102;3.1386;-0.026751;-0.028686;0.68333;0.73792;2.1944
103;3.1388;-0.02614;-0.028819;0.66585;0.73946;2.1948
104;3.1387;-0.02686;-0.029247;0.64911;0.74114;2.1952
105;3.1389;-0.027543;-0.029202;0.63186;0.74298;2.1956
106;3.1398;-0.028008;-0.029338;0.61442;0.74496;2.1957
107;3.1395;-0.028335;-0.029324;0.59612;0.74673;2.1963
108;3.139;-0.02877;-0.028994;0.58108;0.74831;2.1966
109;3.1393;-0.029376;-0.029353;0.56709;0.74967;2.197
110;3.1396;-0.029927;-0.029409;0.55148;0.7513;2.1973
111;3.139;-0.03044;-0.030038;0.53703;0.75273;2.1979
112;3.1393;-0.029647;-0.029779;0.52182;0.75394;2.1981
113;3.1393;-0.028859;-0.029919;0.50365;0.75546;2.1985
114;3.1394;-0.028387;-0.03019;0.48724;0.75683;2.1987
115;3.1397;-0.027564;-0.030234;0.46849;0.75822;2.199
116;3.1402;-0.027831;-0.030623;0.44904;0.75983;2.1994
117;3.1403;-0.027808;-0.029914;0.43264;0.76134;2.1995
118;3.14;-0.027182;-0.030513;0.41634;0.7626;2.2002
119;3.1402;-0.025359;-0.030895;0.39827;0.76313;2.2006
120;3.1404;-0.024667;-0.031301;0.38168;0.76394;2.201
121;3.1404;-0.023119;-0.031398;0.36474;0.76457;2.2013
122;3.1404;-0.021515;-0.031434;0.34595;0.7652;2.2016
123;3.1409;-0.01969;-0.031038;0.33001;0.76582;2.2016
124;3.1413;-0.018575;-0.031651;0.31472;0.76655;2.2019
125;3.1412;-0.018357;-0.031677;0.29873;0.76762;2.2023
126;3.1413;-0.016635;-0.031046;0.28619;0.76823;2.2024
127;3.1393;-0.017324;-0.032355;0.27751;0.77271;2.2129
128;3.1394;-0.016684;-0.030283;0.26592;0.77315;2.2124
129;3.1393;-0.014441;-0.030933;0.25721;0.77299;2.2129
130;3.14;-0.0099803;-0.030017;0.24966;0.77117;2.2123
131;3.1398;-0.0050489;-0.030877;0.24282;0.76912;2.213
132;3.14;-0.0051986;-0.030431;0.23247;0.76926;2.2128
133;3.1396;-0.0061045;-0.029866;0.21889;0.77012;2.213
134;3.139;-0.0052604;-0.029555;0.20168;0.77097;2.2136
135;3.1428;-0.0032819;-0.025966;0.18288;0.76661;2.2017
136;3.143;-0.002407;-0.025967;0.16633;0.7672;2.2019
137;3.1433;-0.0027062;-0.025173;0.1476;0.76862;2.2018
138;3.1428;-0.0028204;-0.025165;0.13166;0.76985;2.2021
139;3.1432;-0.0023251;-0.024584;0.11613;0.77075;2.2021
140;3.1431;-0.0020732;-0.025492;0.099614;0.77177;2.2026
141;3.1426;-0.0020881;-0.025038;0.084254;0.77277;2.2029
142;3.1428;-0.0023545;-0.02549;0.069589;0.7736;2.2032
143;3.1422;-0.0024372;-0.025504;0.056015;0.77445;2.2035
144;3.1426;-0.0015508;-0.024396;0.044089;0.77496;2.2033
145;3.1423;-0.0022163;-0.02527;0.032278;0.77579;2.2038
146;3.1426;-0.0018488;-0.024683;0.023266;0.77653;2.2038
147;3.1429;-0.0019219;-0.024256;0.014542;0.77692;2.2037
148;3.1429;-0.0017678;-0.024089;0.0042513;0.7776;2.2038
149;3.1426;-0.0023761;-0.024709;-0.0059724;0.7783;2.2041
150;3.143;-0.0019852;-0.02463;-0.021848;0.77933;2.2043
151;3.1436;-0.0017535;-0.024138;-0.03965;0.78046;2.2045
152;3.143;-0.0027397;-0.024868;-0.056134;0.7817;2.2052
153;3.1427;-0.0035659;-0.025667;-0.072616;0.78249;2.2058
154;3.1429;-0.003799;-0.02576;-0.087512;0.7834;2.2061
155;3.1426;-0.0046103;-0.025312;-0.10206;0.78431;2.2063
156;3.1425;-0.0060118;-0.025707;-0.11827;0.78538;2.2067
157;3.1428;-0.0086286;-0.026563;-0.13283;0.78631;2.2071
158;3.1422;-0.010172;-0.026489;-0.14786;0.78719;2.2075
