0;-3.1386;-0.072933;0.022537;-3.0466;0.71088;2.259
1;-3.1386;-0.072841;0.022524;-3.0466;0.71092;2.2591
2;-3.1385;-0.072856;0.022667;-3.0466;0.71093;2.2591
3;-3.1387;-0.073002;0.022339;-3.0466;0.71085;2.259
4;-3.1386;-0.072876;0.022446;-3.0466;0.71091;2.259
5;-3.1386;-0.072967;0.022582;-3.0466;0.7109;2.259
6;-3.1384;-0.072989;0.022528;-3.0466;0.71089;2.259
7;-3.1386;-0.07301;0.022476;-3.0466;0.71086;2.259
8;-3.1386;-0.073005;0.022456;-3.0466;0.71088;2.259
9;-3.1386;-0.073097;0.022433;-3.0466;0.71085;2.259
10;-3.1385;-0.072944;0.022339;-3.0466;0.71088;2.259
11;-3.1386;-0.073005;0.022313;-3.0466;0.71087;2.259
12;-3.1387;-0.073048;0.02235;-3.0466;0.71087;2.259
13;-3.1386;-0.073216;0.022472;-3.0466;0.71084;2.259
14;-3.1384;-0.074581;0.022328;-3.0467;0.71037;2.2589
15;-3.1381;-0.077028;0.021894;-3.0469;0.70926;2.2587
16;-3.1381;-0.081759;0.021456;-3.0475;0.70701;2.2586
17;-3.1382;-0.087198;0.021934;-3.0482;0.70398;2.2589
18;-3.1377;-0.093985;0.021531;-3.049;0.70029;2.2586
19;-3.138;-0.10073;0.021873;-3.05;0.69635;2.2588
20;-3.1378;-0.10825;0.021636;-3.0508;0.69234;2.2588
21;-3.1369;-0.11398;0.021624;-3.0515;0.68919;2.2587
22;-3.1368;-0.11992;0.021996;-3.0524;0.68581;2.2589
23;-3.1366;-0.12668;0.021573;-3.0532;0.68222;2.2588
24;-3.1357;-0.13493;0.02264;-3.054;0.67767;2.2588
25;-3.1345;-0.14373;0.020857;-3.0546;0.67297;2.2583
26;-3.1351;-0.15179;0.021499;-3.0557;0.66863;2.2587
27;-3.1349;-0.15783;0.021028;-3.0566;0.6649;2.2586
28;-3.1355;-0.16269;0.020617;-3.0569;0.66217;2.2588
29;-3.1353;-0.16754;0.021804;-3.0576;0.65954;2.2592
30;-3.1345;-0.17238;0.021757;-3.0582;0.65696;2.259
31;-3.1326;-0.17759;0.020668;-3.0586;0.65408;2.2582
32;-3.132;-0.18412;0.021777;-3.0591;0.65072;2.2585
33;-3.1335;-0.18862;0.022299;-3.0596;0.64818;2.2591
34;-3.1338;-0.19406;0.020706;-3.0602;0.64509;2.2588
35;-3.1323;-0.19927;0.021045;-3.0611;0.64205;2.2585
36;-3.132;-0.20481;0.021902;-3.062;0.63877;2.2589
37;-3.1314;-0.21036;0.020547;-3.063;0.6354;2.2585
38;-3.1311;-0.21764;0.021139;-3.0639;0.63126;2.2587
39;-3.1306;-0.2252;0.020819;-3.0646;0.6272;2.2586
40;-3.1296;-0.23186;0.021026;-3.0652;0.62352;2.2585
41;-3.1293;-0.2375;0.021658;-3.0656;0.62065;2.2587
42;-3.1288;-0.2423;0.021488;-3.0662;0.61811;2.2585
43;-3.1286;-0.24761;0.020789;-3.067;0.61503;2.2583
44;-3.1283;-0.25319;0.020858;-3.0678;0.6119;2.2584
45;-3.1278;-0.25843;0.020762;-3.0686;0.60893;2.2585
46;-3.1268;-0.26407;0.021048;-3.0693;0.60586;2.2583
47;-3.1265;-0.26996;0.021219;-3.07;0.60321;2.2585
48;-3.1265;-0.27666;0.021152;-3.0714;0.6007;2.2585
49;-3.1255;-0.28151;0.020562;-3.0723;0.59926;2.2583
50;-3.1247;-0.28625;0.020973;-3.0733;0.59799;2.2583
